,0,1,2,3,4,5,6,7
Real Graph,6979.0,149.0,37569.0,34618.0,4294.0,183.0,179.0,11.0
Random Graphs (Mean),7266.7,53.1,39859.49,44102.96,2298.29,205.49,51.71,0.95
