,0,1,2,3,4,5,6,7
Real Graph,10336.0,201.0,88741.0,29064.0,3021.0,9647.0,1419.0,13.0
Random Graphs (Mean),10500.3,109.77,86898.96,75329.68,6376.18,449.38,203.77,5.7
